_	Id	CreatedDate	Type__c	IdAgent__c	EntreeClients__c	MessageErreur__c	DureeAppelAPI__c	NbClientsEntree__c	NbContactsSortie__c	CodePosteMetier__c		recordtypeId
[GOCC_MuleAPI_Log__c]	a01AP00000OUBUxYAP	2024-07-18T16:29:33.000+0000	LoadTime				12			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OUFomYAH	2024-07-18T15:17:02.000+0000	ApiCall	63140	CE16275079585147		25	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OUIbVYAX	2024-07-18T15:32:11.000+0000	ApiCall		CE16275079585147		18	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OUKjUYAX	2024-07-18T16:20:02.000+0000	ApiCall		CE16275079585147		16	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OUNZNYA5	2024-07-18T15:33:15.000+0000	ApiCall		CE16275079585147		18	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OUQc1YAH	2024-07-18T15:17:02.000+0000	LoadTime	63140			49			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OURFBYA5	2024-07-18T15:33:14.000+0000	LoadTime				11			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OUdvoYAD	2024-07-18T15:19:34.000+0000	ApiCall	63140	CE16275079585147		20	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OUgfuYAD	2024-07-18T15:19:21.000+0000	LoadTime	63140			31			RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OUrkNYAT	2024-07-18T15:22:08.000+0000	ApiCall	63140	CE16275079585147		20	1	71	RoleTest		012AP0000022BPdYAM
[GOCC_MuleAPI_Log__c]	a01AP00000OUtAyYAL	2024-07-18T17:07:09.000+0000	LoadTime				20			RoleTest		012AP0000022BPdYAM
